,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-1.4720311672031972,-0.7613192948656586,-0.1812738524091276,0.2892050875856152,0.6636026764758483,0.9626102075321644,1.2035197642685123,1.399709423393237,1.5613341316985512,1.6959851242862418,0.5562482553558663,3.155935118870751
1,Consumption ($C_t$),1.3814716685252164,0.27661867354647895,-0.6228463035301844,-1.3276780083807223,-1.8828630430338198,-2.3192043476476285,-2.6660374668124844,-2.9446221675019553,-3.1709416648035678,-3.3571783472009766,-1.6259747400717752,-5.53413416898124
2,Capital Stock ($K_t$),-1.7428152413430278,-1.139699662698747,-0.6416281734348019,-0.23362159204861005,0.09291350630938215,0.35485435417681066,0.5667098214079668,0.7399046391071382,0.8831183797597305,1.0027288774980232,0.003610469967124274,2.17339172442887
3,Labor ($L_t$),-1.2799520661730706,-0.4926725432022556,0.1457976724640512,0.6608534867928734,1.0694326837960906,1.3949291965183086,1.6566121180169486,1.8692492340534024,2.044046706352613,2.189461569014595,0.949650946400005,3.85696478125746
4,Real interest rate ($r_t$),0.5952789895680347,0.8250944395432096,0.997341594953405,1.1266241334682778,1.2245002237385025,1.2995814509402575,1.3579854238682383,1.403917012033402,1.4405061074835166,1.4703094989910939,1.1755496344845013,2.0741192763974685
5,Wage rate,-0.19447168902078416,-0.26987541090768125,-0.32655431302345517,-0.36919043369721,-0.40152992888606626,-0.4263727642598835,-0.44571466454746717,-0.460932972784954,-0.4730542719110448,-0.48291556375759925,-0.3849049875609236,-0.6749928216312172
