2018 Social Accounting Matrix for Indonesia,Code,amaiz,arice,aocer,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,dstk,row,total
Commodities - Business services,cbsrv,46,620,43,1031,145,57,82,23,0,745,328,952,80,192,32,1097,156,50801,2934,2654,2686,3410,14130,4644,3668,6798,3226,5912,396,65280,63668,56268,3240,27424,30779,5754,16970,11640,6902,448,3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55975,,92119,546542
Commodities - Public administration,cpadm,,,,1878,,,,,,,183,266,,,,,,4873,839,1438,627,942,3588,239,16,1546,5,0,546,16974,257,7090,2075,20378,6039,3621,2953,249,767,275,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416,3846,5652,7402,10452,2120,3418,5265,11125,49632,719438,,,,,,438,,7705,906654
Commodities - Education,ceduc,,,,,,,,,,,,,,,,,,225,68,55,102,172,390,179,158,64,7,115,8,2460,2309,887,189,1024,4457,1,284,1690,22381,395,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10542,13281,16079,17230,16460,10047,13104,19057,36495,126437,403924,,,,,,,,,720293
Commodities - Health and social work,cheal,0,0,0,0,0,0,0,0,,0,,0,1,3,0,,14,1168,296,106,420,1299,844,231,1564,336,32,304,19,3795,3557,1753,47,293,2206,87,694,1339,1054,26839,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5082,8088,12333,17312,26924,4886,7217,12165,23436,91697,100481,,,,,,,,,357993
Commodities - Other services,cosrv,22,299,21,68,69,6,3,1,,411,17,696,0,1,0,4,2,188,21,231,26,364,2411,45,146,36,13,9,24,2976,3520,1147,739,927,145,75,1361,7,196,313,157893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,4468,8287,14873,58532,1737,3741,7279,18728,237543,,,,,,,,,3972,535946
Transaction costs,trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22834,43280,1260,34558,15842,68844,2281,849,3790,81289,15125,25790,10542,26620,7979,37406,117211,198425,550947,159043,104099,190997,451275,48734,176025,484983,48393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928421
Factors - Labor - Low (not finished primary schooling),flab-n,2066,33223,1964,46458,4065,14275,1657,359,1,16184,7449,26791,16865,19782,7586,13259,47905,49526,56853,6365,12490,17363,8990,8248,13893,4718,8834,1257,218,268803,138186,81951,5396,10138,2319,331,1167,8716,4045,1835,44818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016355
"Factors - Labor - Medium (finished primary, but not finished secondary schooling)",flab-p,671,10781,637,15076,1319,5964,538,247,1,11135,5125,15155,4550,5337,2047,4383,14621,28763,36143,7362,22072,14613,5256,6965,11732,9568,7460,2320,403,142330,88562,62051,6778,10719,4407,629,2219,17926,4465,2483,32528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625338
Factors - Labor - High (finished secondary and/or tertiary schooling),flab-s,705,11331,670,15844,1386,8053,565,246,1,11079,5099,15630,6563,7698,2952,5855,12847,121408,143875,51627,31470,24023,218065,17323,29179,90527,18553,31096,5397,220211,337404,140616,131833,134641,158300,22575,79698,479291,369400,72161,76038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432,3114669
Factors - Agricultural land,flnd,8825,100542,7364,68618,17056,52209,3596,879,8,103450,24087,54403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441038
Factors - Capital,fcap,9657,121967,8053,80140,18601,58082,3908,953,9,121737,26439,61055,44619,53744,20313,87789,263649,998959,619917,126778,132596,140768,545369,57066,170608,207140,62434,99234,46826,930918,1367556,513098,268547,402967,252348,572637,184998,59979,84237,78567,115126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127727,9147116
Enterprises,ent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7569264,,,,,,,,,,,,360142,,,,,,,,12268,7941673
Households - Rural (quintile 1),hhd-r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145497,36388,55566,38887,67511,,,,,,,,,,,,13303,,,,,,,,7879,365033
Households - Rural (quintile 2),hhd-r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166309,55964,89127,51743,127840,,,,,,,,,,,,15878,,,,,,,,8957,515817
Households - Rural (quintile 3),hhd-r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157460,65931,114475,73804,177397,194131,,,,,,,,,,,11815,,,,,,,,12328,807342
Households - Rural (quintile 4),hhd-r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90262,89511,169403,88665,232384,311676,,,,,,,,,,,8072,,,,,,,,16924,1006897
Households - Rural (quintile 5),hhd-r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42308,48925,177931,93392,209559,544772,,,,,,,,,,,10757,,,,,,,,40033,1167677
Households - Urban (quintile 1),hhd-u1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98431,68851,62269,9960,17462,,,,,,,,,,,,4107,,,,,,,,2345,263424
Households - Urban (quintile 2),hhd-u2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115750,84886,181172,19799,34714,,,,,,,,,,,,2292,,,,,,,,1114,439727
Households - Urban (quintile 3),hhd-u3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79588,77949,308039,20112,35348,217132,,,,,,,,,,,7792,,,,,,,,7720,753680
Households - Urban (quintile 4),hhd-u4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72261,58154,580961,20002,35171,646764,,,,,,,,,,,12574,,,,,,,,2401,1428287
Households - Urban (quintile 5),hhd-u5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48489,38780,1350884,24675,43330,2955351,,,,,,,,,,,15888,,,,,,,,7329,4484724
Government,gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461059,61,90,118,144,202,91,174,251,509,1641,,744679,4481,52557,25706,565899,,,2292,1859954
Taxes - Direct (personal or corporate),dtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600952,2668,3964,5187,6305,8829,4004,7641,11026,22343,71760,,,,,,,,,,744679
Taxes - Exports (products),etax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4481
Taxes - Factors,ftax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52557,,,,,,,,,,,,,,,,,,,,,52557
Taxes - Imports (products),mtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,0,408,,25,1,336,0,552,443,108,278,70,10,4,7,873,7067,314,961,412,6292,243,1729,5032,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25706
"Taxes - Sales, excise and/or value-added (products)",stax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186,-2805,2436,-131,1,250,85,24,0,611,511,58,133,548,276,94,13,3497,121868,30018,18524,15233,26996,8304,71558,39526,1135,10988,1417,99142,11861,56093,23146,,12996,2777,2533,,,6372,,,,,,,,,,,,,,,,,,,,,,,,,,,,565899
Savings-investment,s-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982477,,,154159,246098,289512,,,162354,354379,1287860,57948,,,,,,,,604377,5139164
Change in stocks,dstk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341748,,,341748
Rest of world,row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,2205,149,18561,270,7648,32,8470,15631,16683,9574,5164,7459,1869,708,886,603,209192,136982,4010,78815,56770,1041518,25207,272038,857199,33658,1406,,1843,5685,158725,197801,,22149,,93262,625,,,1147,,,,24841,,544578,27361,6828,6482,7576,7552,6531,3486,1980,2863,1564,3625,65984,,,,,,,,,4007322
Total,total,26533,321442,20210,284814,52623,160704,15337,4277,26,302647,81236,202367,94832,177113,39281,127368,417878,1632406,2754516,358394,522112,509307,1851244,271385,734093,785654,262486,588260,62930,4423438,2944858,1843793,940628,894898,646721,683184,450746,906029,720293,351621,534799,51436,364122,24055,338232,68736,237472,17735,13957,19446,401781,106890,233486,113244,206220,48254,165758,535712,2048854,3571379,551779,724512,772719,3377326,353872,1255442,2172393,346085,600654,64348,4524423,2962404,2058611,1161575,894898,681866,685961,546542,906654,720293,357993,535946,2928421,1016355,625338,3114669,441038,9147116,7941673,365033,515817,807342,1006897,1167677,263424,439727,753680,1428287,4484724,1859954,744679,4481,52557,25706,565899,5139164,341748,4007322,112014280
